R2,dIB
-10.0,-1.2275511757864368
-9.795938775510203,-1.2127936292886186
-9.591877551020408,-1.1979281928244991
-9.387816326530611,-1.1829507615103427
-9.183755102040816,-1.167857027252276
-8.97969387755102,-1.152642462552373
-8.775632653061225,-1.1373023026800357
-8.571571428571428,-1.1218315260166978
-8.367510204081633,-1.1062248323196648
-8.163448979591836,-1.090476618641306
-7.959387755102041,-1.074580952564255
-7.755326530612244,-1.0585315423882162
-7.551265306122449,-1.0423217038266843
-7.347204081632652,-1.0259443226884797
-7.143142857142857,-1.0093918129356005
-6.93908163265306,-0.9926560694007116
-6.735020408163265,-0.9757284142874469
-6.530959183673469,-0.9585995364294323
-6.326897959183674,-0.9412594220689628
-6.122836734693877,-0.92369727564235
-5.918775510204081,-0.9059014287539875
-5.714714285714285,-0.8878592350970876
-5.510653061224489,-0.8695569485689554
-5.306591836734693,-0.8509795811590909
-5.102530612244897,-0.8321107363329954
-4.898469387755101,-0.8129324125291449
-4.694408163265305,-0.793424769923647
-4.4903469387755095,-0.7735658516641821
-4.286285714285714,-0.7533312481991259
-4.082224489795918,-0.7326936897726031
-3.8781632653061218,-0.7116225472906292
-3.674102040816326,-0.6900832149781406
-3.47004081632653,-0.6680363385812961
-3.265979591836734,-0.6454368389350434
-3.061918367346938,-0.6222326601888739
-2.857857142857142,-0.5983631410774266
-2.6537959183673463,-0.5737568599885694
-2.4497346938775504,-0.5483287290817499
-2.2456734693877545,-0.5219759893030824
-2.0416122448979586,-0.4945725490568992
-1.8375510204081618,-0.4659607400195633
-1.6334897959183667,-0.43593887864235825
-1.42942857142857,-0.4042416747273502
-1.225367346938775,-0.370507681840395
-1.0213061224489781,-0.33422140310875054
-0.8172448979591831,-0.29460056278511476
-0.6131836734693863,-0.25034689314383274
-0.40912244897959127,-0.19897704044212586
-0.20506122448979447,-0.13426920061891304
-0.001,-0.005869153198636897
0.0,100.0
0.001,-23.48454530310573
0.0010057759593016333,-23.413847209112436
0.001011585280309121,-23.343354479487697
0.001017428155718318,-23.27306652369923
0.0010233047793380837,-23.202982752912842
0.0010292153460967075,-23.133102579987554
0.0010351600520483787,-23.06342541947069
0.0010411390943796867,-22.9939506875931
0.0010471526714161633,-22.92467780226422
0.0010532009826288598,-22.85560618306733
0.0010592842286409644,-22.78673525125471
0.0010654026112344578,-22.71806442974281
0.001071556333356802,-22.649593143107538
0.0010777455991276784,-22.58132081757944
0.0010839706138457542,-22.51324688103888
0.001090231583995494,-22.445370763011425
0.0010965287172540073,-22.37769189466306
0.0011028622224979398,-22.310209708795384
0.0011092323098103969,-22.242923639841102
0.0011156391904879185,-22.175833123859107
0.001122083077047484,-22.108937598529977
0.0011285641832335619,-22.04223650315123
0.0011350827240252,-21.975729278632677
0.0011416389156431567,-21.90941536749183
0.0011482329755570736,-21.843294213849248
0.0011548651224926848,-21.777365263423917
0.0011615355764390783,-21.71162796352868
0.0011682445586559897,-21.64608176306561
0.0011749922916811414,-21.580726112521518
0.0011817789993376247,-21.515560463963332
0.0011886049067413237,-21.450584271033524
0.0011954702403083846,-21.385796988945685
0.0012023752277627198,-21.32119807447992
0.0012093200981435695,-21.256786985978398
0.001216305081813094,-21.192563183340795
0.0012233304104640164,-21.12852612801988
0.001230396317127307,-21.064675283017003
0.0012375030361799152,-21.001010112877672
0.0012446508033525383,-20.937530083687115
0.0012518398557374477,-20.874234663065813
0.00125907043179635,-20.811123320165155
0.0012663427713682956,-20.748195525662926
0.0012736571156776364,-20.685450751759024
0.0012810137073420262,-20.62288847217108
0.0012884127903804697,-20.560508162129974
0.0012958546102214113,-20.49830929837565
0.001303339413710884,-20.436291359152616
0.001310867449120693,-20.374453824205773
0.00131843896615665,-20.312796174775958
0.0013260542159668585,-20.251317893595743
0.0013337134511500438,-20.19001846488508
0.0013414169257639273,-20.128897374347083
0.0013491648953336622,-20.067954109163747
0.0013569576168603018,-20.007188157991614
0.0013647953488293283,-19.946599010957655
0.0013726783512192251,-19.886186159654983
0.0013806068855101005,-19.825949097138647
0.0013885812146923631,-19.765887317921376
0.0013966016032754389,-19.70600031796947
0.0014046683172965538,-19.646287594698613
0.0014127816243295526,-19.586748646969596
0.0014209417934937757,-19.527382975084322
0.0014291490954629856,-19.468190080781547
0.001437403802474346,-19.40916946723276
0.0014457061883374523,-19.35032063903811
0.001454056528443409,-19.29164310222231
0.0014624550997739726,-19.23313636423042
0.0014709021809107333,-19.174799933923918
0.0014793980520443574,-19.116633321576536
0.0014879429949838814,-19.0586360388702
0.0014965372931660587,-19.000807598891022
0.0015051812316647642,-18.943147516125205
0.0015138750972004422,-18.88565530645511
0.0015226191781496283,-18.828330487155167
0.001531413764554507,-18.77117257688782
0.001540259148132535,-18.714181095699686
0.0015491556222861171,-18.65735556501747
0.0015581034821123383,-18.600695507643984
0.001567103024412754,-18.54420044775425
0.0015761545477032287,-18.487869910891558
0.0015852583522238469,-18.431703423963462
0.0015944147399488662,-18.375700515237895
0.0016036240145967354,-18.319860714339278
0.001612886481640168,-18.264183552244607
0.001622202448316278,-18.208668561279527
0.001631572223636763,-18.153315275114522
0.0016409961183981644,-18.098123228760986
0.0016504744451921705,-18.043091958566112
0.0016600075184159864,-17.98822100221415
0.0016695956542827626,-17.93350989871496
0.0016792391708320838,-17.878958188405207
0.0016889383879405203,-17.82456541294464
0.0016986936273322311,-17.770331115307105
0.0017085052125896461,-17.716254839784458
0.0017183734691641923,-17.662336131977685
0.0017282987243870914,-17.6085745387944
0.0017382813074802161,-17.55496960844509
0.0017483215495670138,-17.501520890439338
0.0017584197836834814,-17.448227935582157
0.0017685763447892243,-17.395090295970174
0.0017787915697785584,-17.34210752498802
0.0017890657974916878,-17.289279177304508
0.0017993993687259442,-17.23660480886904
0.00180979262624709,-17.1840839769079
0.0018202459148006912,-17.131716239920518
0.0018307595811235446,-17.07950115767592
0.0018413339739551896,-17.027438291208973
0.0018519694440494697,-16.97552720281682
0.001862666344186168,-16.923767456055195
0.0018734250291827096,-16.872158615734847
0.0018842458559059302,-16.820700247917898
0.0018951291832839162,-16.769391919914256
0.001906075372317902,-16.71823320027807
0.0019170847860942558,-16.667223658804062
0.0019281577897965168,-16.61636286652403
0.0019392947507175088,-16.565650395703287
0.0019504960382715245,-16.515085819837054
0.001961762024006578,-16.46466871364702
0.001973093081616732,-16.4143986530777
0.0019844895869544845,-16.36427521529306
0.001995951918043249,-16.31429797867286
0.002007480455089884,-16.26446652280926
0.0020190755804973077,-16.214780428503307
0.002030737678877182,-16.16523927776144
0.00204246713706267,-16.115842653792036
0.0020542643441212698,-16.066590141001956
0.002066129691367711,-16.017481324993128
0.0020780635723769473,-15.96851579255905
0.002090066382997203,-15.919693131681393
0.002102138521363107,-15.87101293152661
0.0021142803879088965,-15.82247478244247
0.002126492385381702,-15.774078275954722
0.0021387749188549,-15.725823004763674
0.00215112839574156,-15.677708562740836
0.0021635532258079512,-15.629734544925514
0.002176049821187136,-15.581900547521487
0.002188618596392639,-15.53420616789365
0.0022012599683322036,-15.486651004564674
0.002213974356321605,-15.439234657211678
0.0022267621820985786,-15.391956726662901
0.0022396238698367964,-15.344816814894408
0.0022525598461599406,-15.297814525026764
0.002265570540155854,-15.250949461321769
0.0022786563833907736,-15.204221229179165
0.0022918178099236484,-15.157629435133348
0.002305055256320526,-15.111173686850162
0.0023183691616690495,-15.064853593123562
0.002331759967593012,-15.01866876387243
0.002345228118267007,-14.972618810137327
0.0023587740604311637,-14.926703344077264
0.0023723982434059624,-14.880921978966475
0.002386101119107144,-14.835274329191211
0.002399883142060689,-14.789760010246589
0.0024137447694179076,-14.744378638733336
0.002427686460970596,-14.699129832354643
0.0024417086791662886,-14.654013209912996
0.002455811889123598,-14.609028391307021
0.0024699965586476432,-14.564174997528298
0.0024842631582455694,-14.519452650658241
0.002498612161142143,-14.474860973865004
0.0025130440432954665,-14.430399591400276
0.0025275592834127533,-14.386068128596214
0.002542158362966211,-14.341866211862339
0.0025568417662090105,-14.297793468682412
0.0025716099801913503,-14.253849527611369
0.0025864634947766127,-14.210034018272223
0.0026014028026576028,-14.16634657135302
0.002616428399372908,-14.122786818603736
0.0026315407833233237,-14.079354392833253
0.002646740455788388,-14.036048927906293
0.002662027920943008,-13.99287005874042
0.002677403685874187,-13.949817421302956
0.002692868260597842,-13.906890652608016
0.0027084221580757155,-13.864089390713469
0.002724065894232403,-13.821413274717937
0.002739799987972457,-13.778861944757812
0.0027556249611976015,-13.73643504200426
0.0027715413388240467,-13.694132208660257
0.002787549648799889,-13.651953087957624
0.0028036504221226398,-13.609897324154055
0.0028198441928568275,-13.567964562530175
0.0028361314981517156,-13.526154449386597
0.0028525128782591206,-13.484466632040984
0.0028689888765513305,-13.442900758825147
0.002885560039539133,-13.401456479082077
0.0029022269168899302,-13.360133443163113
0.0029189900614459917,-13.318931302424977
0.002935850029242776,-13.277849709226913
0.0029528073795273817,-13.236888316927784
0.0029698626747770946,-13.196046779883234
0.0029870164807180473,-13.155324753442777
0.003004269366343986,-13.114721893946976
0.003021621903935133,-13.07423785872458
0.003039074669077186,-13.033872306089668
0.003056628240680401,-12.993624895338831
0.003074283200998794,-12.953495286748357
0.0030920401356494586,-12.913483141571376
0.0031098996336319865,-12.873588122035091
0.003127862287348013,-12.833809891337953
0.003145928692620849,-12.79414811364689
0.0031640994487152677,-12.754602454094499
0.003182375158357368,-12.71517257877628
0.003200756427754569,-12.675858154747852
0.003219243866615721,-12.636658850022233
0.0032378380881713264,-12.597574333567026
0.0032565397091938856,-12.558604275301732
0.0032753493500183428,-12.519748346094989
0.00329426763456268,-12.481006217761825
0.0033132951903486023,-12.442377563060957
0.003332432648522353,-12.403862055692086
0.0033516806438756565,-12.365459370293149
0.003371039814866751,-12.327169182437693
0.0033905108036416105,-12.288991168632096
0.003410094256055193,-12.250925006312965
0.0034297908216929015,-12.212970373844422
0.0034496011538921157,-12.175126950515416
0.003469525909763864,-12.137394416537113
0.003489565750214626,-12.0997724530402
0.0035097213399682362,-12.062260742072299
0.0035299933475879705,-12.024858966595227
0.003550382445498675,-11.987566810482495
0.0035708893100091094,-11.950383958516586
0.00359151462133436,-11.913310096386391
0.0036122590636184083,-11.876344910684583
0.003633123324956828,-11.83948808890502
0.0036541080974195903,-11.802739319440189
0.0036752140770740585,-11.76609829157854
0.0036964419640080283,-11.729564695502004
0.0037177924623529885,-11.693138222283357
0.003739266280307459,-11.656818563883684
0.003760864130160485,-11.620605413149834
0.0037825867283152684,-11.584498463811839
0.0038044347953129164,-11.548497410480412
0.003826409055856362,-11.512601948644393
0.0038485102388343896,-11.476811774668239
0.003870739077345816,-11.441126585789469
0.0038930963087238078,-11.405546080116208
0.0039155826745603355,-11.37006995662464
0.003938198920730781,-11.334697915156527
0.0039609457974186585,-11.299429656416736
0.0039838240591405245,-11.264264881970732
0.004006834464770988,-11.229203294242096
0.004029977777567887,-11.194244596510094
0.004053254765197607,-11.159388492907201
0.004076666199760539,-11.12463468841662
0.0041002128578167055,-11.08998288886986
0.004123895520411489,-11.055432800944322
0.0041477149731015735,-11.020984132160823
0.0041716720059809835,-10.986636590881167
0.004195767413707294,-10.952389886305774
0.004220001995527987,-10.91824372847123
0.004244376555306967,-10.884197828247888
0.004268891901551232,-10.850251897337479
0.004293548847437665,-10.81640564827072
0.0043183482108400395,-10.78265879440493
0.0043432908143561325,-10.749011049921648
0.004368377485335012,-10.715462129824257
0.004393609055904483,-10.682011749935631
0.004418986362998671,-10.648659626895798
0.004444510248385829,-10.615405478159524
0.004470181558696198,-10.582249021994066
0.004496001145450139,-10.549189977476747
0.0045219698650863565,-10.516228064492676
0.0045480885789903076,-10.483363003732416
0.0045743581535227845,-10.450594516689641
0.004600779460048622,-10.417922325658903
0.004627353374965658,-10.385346153733202
0.004654080779733736,-10.352865724801825
0.004680962560903992,-10.320480763547966
0.004707999610148244,-10.288190995446474
0.004735192824288565,-10.255996146761579
0.004762543105327048,-10.2238959445446
0.004790051360475692,-10.191890116631734
0.004817718502186532,-10.159978391641728
0.004845545448181888,-10.128160498973672
0.004873533121484802,-10.096436168804761
0.00490168245044966,-10.064805132088026
0.004929994368792988,-10.033267120550128
0.004958469815624424,-10.001821866689118
0.004987109735477848,-9.970469103772244
0.005015915078342747,-9.9392085658337
0.005044886799695705,-9.908039987672451
0.005074025860532095,-9.87696310485002
0.005103333227397963,-9.845977653688301
0.005132809872422087,-9.815083371267374
0.005162456773348225,-9.7842799954233
0.005192274913567526,-9.753567264746012
0.005222265282151184,-9.722944918577058
0.005252428873883223,-9.692412697007505
0.005282766689293496,-9.661970340875762
0.00531327973469088,-9.631617591765426
0.005343969022196648,-9.601354192003152
0.005374835569778051,-9.571179884656502
0.005405880401282061,-9.541094413531827
0.005437104546469363,-9.511097523172133
0.005468509041048496,-9.481188958854965
0.0055000949267102065,-9.451368466590303
0.005531863251162011,-9.421635793118433
0.005563815068162918,-9.391990685907894
0.005595951437558448,-9.362432893153299
0.005628273425315702,-9.332962163773356
0.0056607821035587905,-9.303578247408694
0.005693478550604361,-9.274280894419839
0.005726363850997374,-9.245069855885113
0.005759439095547086,-9.215944883598592
0.005792705381363196,-9.186905730068055
0.005826163811892308,-9.157952148512873
0.005859815496954448,-9.129083892862056
0.005893661552779937,-9.10030071775213
0.005927703102046396,-9.071602378525146
0.005961941273915982,-9.042988631226626
0.005996377204072855,-9.014459232603567
0.006031012034760815,-8.986013940102415
0.006065846914821262,-8.957652511867025
0.006100882999731208,-8.929374706736697
0.006136121451641682,-8.901180284244155
0.006171563439416244,-8.873069004613555
0.006207210138669761,-8.845040628758486
0.00624306273180741,-8.817094918280013
0.006279122408063874,-8.78923163546468
0.006315390363542826,-8.76145054328254
0.0063518678012565765,-8.733751405385204
0.00638855593116599,-8.706133986103854
0.006425455970220614,-8.678598050447317
0.006462569142399045,-8.6511433641001
0.006499896678749541,-8.623769693420442
0.00653743981743082,-8.596476805438405
0.006575199803753178,-8.569264467853912
0.006613177890219765,-8.542132449034188
0.0066513753365681355,-8.51508051801439
0.006689793409812041,-8.488108444491893
0.006728433384283451,-8.461215998826887
0.006767296541674831,-8.434402952040498
0.006806384171081628,-8.407669075810343
0.006845697569045078,-8.38101414247245
0.006885238039595173,-8.35443792501681
0.006925006894293933,-8.327940197086162
0.006965005452278905,-8.30152073297409
0.007005235040306923,-8.275179307623164
0.0070456969927981195,-8.24891569662306
0.007086392651880162,-8.222729676208726
0.007127323367432816,-8.196621023258498
0.007168490497132689,-8.170589515292251
0.0072098954064982726,-8.144634930469586
0.007251539468935248,-8.118757047587938
0.0072934240657819985,-8.092955646080814
0.007335550586355517,-8.067230506015868
0.0073779204279973785,-8.041581408093178
0.0074205349961201815,-8.016008133643348
0.007463395704254118,-7.990510464625739
0.007506503974093875,-7.965088183626645
0.007549861235545799,-7.939741073857493
0.007593468926775283,-7.914468919153052
0.007637328494254562,-7.88927150396961
0.0076814413928105825,-7.864148613383241
0.007725809085673338,-7.83910003308797
0.007770433044524377,-7.814125549394022
0.007815314749545617,-7.789224949226045
0.007860455689468455,-7.764398020121337
0.007905857361623119,-7.73964455022811
0.007951521271988372,-7.714964328303694
0.00799744893524145,-7.690357143712802
0.008043641874808296,-7.665822786425796
0.008090101622914103,-7.641361047016929
0.008136829720634132,-7.616971716662611
0.008183827717944844,-7.592654587139687
0.008231097173775273,-7.568409450823696
0.00827863965605879,-7.544236100687161
0.008326456741785072,-7.520134330297866
0.008374550017052434,-7.496103933817137
0.008422921077120423,-7.472144705998153
0.00847157152646274,-7.448256442184229
0.008520502978820474,-7.424438938307123
0.008569717057255587,-7.400691990885351
0.008619215394204809,-7.377015397022484
0.008668999631533747,-7.3534089544054755
0.008719071420591362,-7.329872461302987
0.008769432422264732,-7.306405716563702
0.008820084307034157,-7.283008519614675
0.008871028755028572,-7.259680670459646
0.008922267456081236,-7.2364219696774175
0.00897380210978585,-7.213232218420153
0.009025634425552886,-7.190111218411767
0.0090777661226663,-7.167058771946259
0.009130198930340576,-7.144074681886087
0.009182934587778031,-7.121158751660536
0.009235974844226608,-7.0983107852640455
0.009289321459037771,-7.07553058725466
0.009342976201724962,-7.052817962752333
0.009396940852022254,-7.03017271743736
0.009451217199943391,-7.007594657548738
0.009505807045841173,-6.985083589882581
0.009560712200467121,-6.962639321790514
0.009615934485031659,-6.940261661178036
0.009671475731264374,-6.917950416502999
0.009727337781474893,-6.895705396773954
0.009783522488613933,-6.873526411548603
0.009840031716334782,-6.851413270932207
0.009896867339055124,-6.8293657855760115
0.00995403124201916,-6.80738376667569
0.010011525321360262,-6.7854670259697425
0.01006935148416371,-6.763615375737984
0.01012751164853008,-6.741828628799947
0.010186007743638809,-6.720106598513347
0.010244841709812194,-6.698449098772532
0.010304015498579747,-6.676855944006936
0.010363531072742942,-6.655326949179548
0.010423390406440325,-6.633861929785362
0.01048359548521296,-6.61246070184987
0.010544148306070337,-6.5911230819275115
0.010605050877556593,-6.569848887100166
0.01066630521981711,-6.548637934975641
0.010727913364665574,-6.527490043686139
0.010789877355651331,-6.506405031886773
0.010852199248127196,-6.485382718754042
0.010914881109317594,-6.46442292398435
0.01097792501838718,-6.4435254677924965
0.011041333066509772,-6.422690170910185
0.011105107356937713,-6.401916854584554
0.011169250005071654,-6.38120534057667
0.011233763138530722,-6.360555451160067
0.011298648897223065,-6.339967009119268
0.01136390943341687,-6.319439837748311
0.011429546911811734,-6.298973760849285
0.011495563509610476,-6.278568602730872
0.011561961416591326,-6.258224188206892
0.011628742835180615,-6.23794034259484
0.011695909980525785,-6.217716891714443
0.011763465080568868,-6.197553661886222
0.01183141037612042,-6.17745047993004
0.011899748120933815,-6.157407173163674
0.011968480581780024,-6.137423569401371
0.012037610038522774,-6.117499496952445
0.012107138784194216,-6.09763478461982
0.012177069125070956,-6.0778292616986365
0.012247403380750541,-6.058082757974825
0.012318143884228444,-6.0383951037236905
0.012389292981975417,-6.018766129708517
0.012460853034015321,-5.999195667179154
0.012532826414003427,-5.9796835478706125
0.012605215509305148,-5.960229604001681
0.01267802272107522,-5.940833668273534
0.012751250464337333,-5.921495573868336
0.01282490116806428,-5.9022151544478625
0.012898977275258496,-5.882992244152115
0.012973481243033083,-5.863826677597956
0.013048415542693346,-5.84471828987773
0.01312378265981875,-5.825666916557894
0.013199585094345346,-5.806672393677663
0.013275825360648731,-5.787734557747637
0.01335250598762743,-5.768853245748453
0.01342962951878679,-5.750028295129436
0.013507198512323317,-5.731259543807245
0.01358521554120958,-5.71254683016453
0.01366368319327953,-5.69388999304859
0.013742604071314326,-5.6752888717700385
0.0138219807931287,-5.656743306101478
0.013901815991657776,-5.638253136276148
0.013982112315044388,-5.619818202986634
0.014062872426726951,-5.601438347383516
0.014144099005527789,-5.583113411074063
0.014225794745741998,-5.564843236120923
0.014307962357226794,-5.546627665040807
0.014390604565491438,-5.528466540803185
0.014473724111787623,-5.510359706828982
0.01455732375320038,-5.492307006989286
0.014641406262739565,-5.474308285604039
0.014725974429431837,-5.456363387440763
0.014811031058413129,-5.438472157713258
0.014896578971021751,-5.4206344420803285
0.01498262100489194,-5.402850086644495
0.015069160014048002,-5.385118937950724
0.015156198868998945,-5.367440842985152
0.015243740456833745,-5.3498156491738165
0.015331787681317087,-5.33224320438139
0.01542034346298566,-5.314723356909926
0.015509410739245073,-5.297255955497587
0.015598992464467276,-5.279840849317395
0.015689091610088527,-5.262477887975992
0.015779711164707996,-5.245166921512374
0.015870854134186877,-5.227907800396659
0.01596252354174811,-5.210700375528844
0.016054722428076613,-5.193544498237571
0.016147453851420204,-5.176440020278886
0.016240720887691018,-5.159386793835017
0.01633452663056751,-5.142384671513147
0.016428874191597116,-5.125433506344185
0.016523766700299442,-5.108533151781555
0.016619207304270057,-5.09168346169998
0.01671519916928493,-5.074884290394263
0.016811745479405418,-5.058135492578083
0.01690884943708389,-5.041436923382786
0.017006514263269934,-5.024788438356202
0.017104743197517227,-5.008189893461412
0.01720353949809099,-4.991641145075581
0.017302906442076004,-4.975142049988769
0.017402847325485405,-4.9586924654027165
0.017503365463369957,-4.942292248929686
0.017604464189927997,-4.925941258591266
0.017706146858616083,-4.909639352817205
0.017808416842260196,-4.893386390444224
0.01791127753316762,-4.877182230714858
0.01801473234323946,-4.86102673327628
0.01811878470408383,-4.844919758179143
0.018223438067129685,-4.828861165876409
0.01832869590374126,-4.812850817222205
0.018434561705333287,-4.79688857347066
0.01854103898348675,-4.780974296274753
0.018648131270065368,-4.765107847685176
0.018755842117332784,-4.749289090149176
0.018864175098070358,-4.733517886509422
0.018973133805695708,-4.717794100002866
0.01908272185438185,-4.702117594259611
0.019192942879177152,-4.686488233301771
0.019303800536125862,-4.670905881542355
0.019415298502389374,-4.655370403784133
0.01952744047636824,-4.63988166521852
0.019640230177824812,-4.624439531424455
0.01975367134800665,-4.609043868367285
0.019867767749770577,-4.5936945423976585
0.019982523167707558,-4.5783914202504095
0.020097941408268195,-4.563134369043455
0.020214026299888964,-4.547923256276702
0.02033078169311927,-4.53275794983093
0.02044821146074913,-4.517638317966706
0.02056631949793761,-4.502564229323298
0.02068510972234209,-4.487535552917571
0.020804586074248156,-4.472552158142909
0.020924752516700354,-4.45761391476813
0.021045613035633567,-4.442720692936406
0.02116717164000531,-4.427872363164187
0.021289432361928682,-4.413068796340123
0.021412399256806058,-4.398309863723996
0.021536076403463694,-4.383595436945651
0.02166046790428698,-4.3689253880039285
0.02178557788535648,-4.354299589265615
0.021911410496584863,-4.339717913464366
0.02203796991185452,-4.325180233699658
0.022165260329156024,-4.310686423435746
0.02229328597072734,-4.296236356500596
0.022422051083193933,-4.281829907084849
0.022551559937709617,-4.267466949740779
0.022681816830098175,-4.253147359381245
0.022812826080995927,-4.238871011278658
0.022944592035995012,-4.224637781063943
0.0230771190657875,-4.210447544725515
0.023210411566310436,-4.19630017860824
0.023344473958891606,-4.182195559412415
0.023479310690396216,-4.1681335641927415
0.023614926233374352,-4.1541140703573145
0.023751325086209397,-4.140136955666597
0.02388851177326722,-4.126202098232399
0.0240264908450462,-4.11230937651689
0.024165266878328255,-4.098458669331567
0.024304844476330602,-4.084649855836255
0.024445228268858418,-4.070882815538118
0.02458642291245848,-4.05715742829064
0.024728433090573588,-4.043473574292642
0.02487126351369792,-4.029831134087283
0.02501491891953324,-4.016229988561066
0.02515940407314612,-4.002670018942857
0.025304723767125975,-3.9891511068028933
0.02545088282174397,-3.9756731340518057
0.025597886085113004,-3.962235982939635
0.025745738433348476,-3.948839536054855
0.025894444770729996,-3.9354836763234045
0.026044010029864128,-3.922168287007708
0.026194439171847952,-3.9088932517057127
0.02634573718643367,-3.8956584543499178
0.026497909092194044,-3.8824637792061036
0.026650959936688937,-3.869309110873625
0.026804894796632728,-3.8561943342825655
0.026959718778062646,-3.843119334694363
0.027115437016508218,-3.8300839976992727
0.027272054677161584,-3.8170882092173155
0.02742957695504879,-3.8041318554960695
0.027588009075202174,-3.7912148231100433
0.027747356292833637,-3.7783369989597273
0.027907623893508978,-3.7654982702706645
0.028068817193323176,-3.752698524592515
0.0282309415390768,-3.739937649798109
0.028394002308453313,-3.7272155340825357
0.028558004910197426,-3.7145320659622034
0.028722954784294572,-3.701887134273919
0.02888885740215133,-3.689280628173958
0.029055718266776845,-3.6767124371371613
0.029223542912965476,-3.664182450956001
0.0293923369074803,-3.651690559739676
0.029562105849237817,-3.639236653913194
0.029732855369493594,-3.6268206242164696
0.029904591132029142,-3.6144423617034125
0.030077318833339747,-3.6021017577410213
0.030251044202823367,-3.5897987040084915
0.030425773002970787,-3.577533092496307
0.0306015110295567,-3.565304815505347
0.030778264111831904,-3.553113765645997
0.030956038112716768,-3.5409598358372483
0.031134838928995632,-3.5288429193058204
0.03131467249151244,-3.5167629095852653
0.031495544765367395,-3.504719700515091
0.031677461750114926,-3.4927131862398784
0.031860429479962656,-3.4807432612083993
0.032044454023971485,-3.4688098201727464
0.03222954148625701,-3.4569127581874577
0.03241569800619193,-3.4450519706086453
0.032602929758609754,-3.4332273530931214
0.032791242954009495,-3.421438801597549
0.03298064383876183,-3.409686212377558
0.033171138695316196,-3.3979694819868973
0.03336273384240918,-3.386288507276575
0.03355543563527416,-3.3746431853940004
0.0337492504658521,-3.3630334137821256
0.033944184763003496,-3.3514590901786048
0.03414024499272173,-3.33992011261494
0.034337437658347486,-3.328416379415634
0.03453576930078449,-3.316947789197344
0.03473524649871642,-3.3055142408680527
0.03493587586882521,-3.294115633626214
0.03513766406601048,-3.2827518669599254
0.03534061778361022,-3.2714228406460935
0.03554474375362294,-3.260128454749597
0.03575004874693087,-3.2488686096224635
0.03595653957352455,-3.2376432059030407
0.0361642230827288,-3.2264521445151693
0.036373106163429834,-3.2152953266673627
0.03658319574430381,-3.2041726538519866
0.0367944987940466,-3.1930840278444457
0.037007022321605014,-3.1820293507023587
